name,Sa,Sz,Str,Spc,Sdr,Sq,Ssk,Sku,Sp,Sv,Sal,Std,Sdq,Spd,Sk,Spk,Svk,Smr1,Smr2,Sxp,Vvv,Vvc,Vmp,Vmc,Area size
Image15,0.181,4.892,0.531,338.106,0.007331,0.239,0.735,7.142,3.468,1.424,8.034,108.000,0.123,20355.675,0.545,0.315,0.222,12.093,90.557,0.504,0.025,0.281,0.016,0.194,373424.654
Image16,0.206,24.372,0.767,487.083,0.01777,0.384,11.602,347.615,21.149,3.223,9.989,95.900,0.200,29148.554,0.548,0.540,0.344,12.802,89.315,0.592,0.033,0.300,0.029,0.201,373424.654
Image17,0.205,7.430,0.557,364.944,0.009794,0.289,2.157,28.842,5.390,2.040,8.994,104.400,0.142,24303.882,0.594,0.403,0.278,12.547,89.841,0.581,0.030,0.315,0.021,0.215,373424.654
Image18,0.203,3.546,0.381,306.629,0.008954,0.263,0.142,3.983,2.195,1.351,6.414,98.600,0.136,23251.743,0.608,0.316,0.280,11.419,88.839,0.542,0.031,0.309,0.016,0.222,373424.654
Image19,0.201,3.785,0.388,249.666,0.007602,0.265,0.265,4.515,1.919,1.866,7.774,96.900,0.125,19974.543,0.584,0.350,0.288,12.285,88.868,0.569,0.031,0.309,0.017,0.215,373424.654
Image20,0.307,5.845,0.471,503.406,0.01660,0.399,-0.006,3.953,3.534,2.311,8.152,124.500,0.186,23063.861,0.931,0.463,0.449,10.625,88.802,0.809,0.048,0.458,0.023,0.338,373424.654
Image21,0.283,8.325,0.077,485.930,0.01766,0.453,-2.476,18.617,3.879,4.445,9.374,114.600,0.194,23361.788,0.706,0.442,0.846,10.850,86.362,0.663,0.074,0.357,0.022,0.269,373424.654
Image22,0.361,9.778,0.285,589.692,0.02934,0.508,-0.429,6.279,3.406,6.372,7.409,105.000,0.251,21590.329,0.913,0.659,0.789,12.046,84.968,0.989,0.078,0.494,0.034,0.366,373424.654
Image23,0.187,5.064,0.752,246.180,0.006855,0.253,0.215,6.289,2.836,2.228,9.576,99.800,0.118,21778.211,0.529,0.323,0.316,10.972,87.034,0.482,0.033,0.267,0.016,0.200,373424.654
Image24,0.206,7.754,0.079,319.357,0.009556,0.350,-2.768,31.033,3.534,4.221,10.258,112.400,0.141,27701.863,0.504,0.400,0.611,9.906,85.848,0.475,0.054,0.244,0.020,0.192,373424.654
Image25,0.351,8.676,0.107,492.667,0.02508,0.536,-1.167,8.742,3.362,5.314,7.869,99.600,0.233,26593.359,0.748,0.671,1.039,11.895,82.853,0.899,0.100,0.416,0.035,0.323,373424.654
Image26,0.177,4.702,0.739,236.360,0.005928,0.239,-0.089,7.061,3.206,1.495,9.729,0.000,0.110,26974.491,0.507,0.273,0.336,10.023,86.963,0.435,0.034,0.245,0.014,0.189,373424.654
Image27,0.177,6.042,0.669,239.862,0.005875,0.249,0.076,12.869,3.895,2.147,10.245,95.500,0.109,27707.231,0.483,0.295,0.377,10.137,86.245,0.429,0.037,0.236,0.015,0.183,373424.654
Image28,0.215,5.538,0.198,258.157,0.007778,0.308,-0.921,8.634,2.860,2.678,9.796,92.200,0.127,19896.706,0.549,0.366,0.509,10.575,85.068,0.532,0.049,0.279,0.018,0.218,373424.654
Image29,0.158,3.940,0.391,208.881,0.004648,0.205,-0.022,4.587,2.401,1.539,9.627,113.000,0.098,18976.084,0.480,0.225,0.239,10.259,88.576,0.397,0.025,0.232,0.011,0.174,373424.654
Image30,0.152,4.757,0.573,265.350,0.006104,0.206,0.901,10.943,3.757,1.000,9.567,99.600,0.112,23243.690,0.437,0.281,0.220,12.045,88.587,0.423,0.024,0.229,0.014,0.161,373424.654
Image31,0.174,4.071,0.409,264.727,0.006615,0.233,0.667,6.232,2.730,1.341,9.060,122.700,0.117,23224.902,0.504,0.342,0.235,12.323,89.555,0.520,0.025,0.266,0.017,0.183,373424.654
Image32,0.188,6.162,0.319,211.063,0.005524,0.245,0.325,8.549,4.867,1.296,8.749,106.600,0.107,17588.442,0.578,0.267,0.270,10.347,89.133,0.473,0.029,0.280,0.013,0.208,373424.654
Image33,0.156,3.612,0.361,211.666,0.004161,0.210,0.978,8.757,2.797,0.814,9.506,110.600,0.092,19818.870,0.454,0.306,0.194,12.612,89.662,0.462,0.022,0.242,0.016,0.165,373424.654
Image34,0.168,4.932,0.382,272.944,0.006039,0.229,0.975,9.001,3.833,1.100,9.294,119.100,0.112,22494.846,0.480,0.350,0.220,12.511,89.186,0.511,0.024,0.257,0.018,0.176,373424.654
Image35,0.183,5.895,0.296,225.042,0.005440,0.239,0.266,7.569,4.184,1.710,8.754,109.100,0.106,20441.564,0.560,0.263,0.261,10.936,89.497,0.464,0.028,0.277,0.013,0.201,373424.654
Image36,0.142,4.473,0.379,277.030,0.004726,0.191,0.880,7.915,3.424,1.049,9.564,109.600,0.099,24309.250,0.414,0.277,0.178,12.451,89.661,0.418,0.020,0.220,0.014,0.151,373424.654
Image37,0.144,4.122,0.504,312.031,0.005616,0.199,1.316,9.221,3.293,0.829,8.709,102.900,0.108,26147.810,0.405,0.330,0.163,13.430,90.139,0.471,0.019,0.226,0.017,0.149,373424.654
Image38,0.023,2.185,0.026,84.223,0.0005113,0.036,5.311,125.583,1.744,0.441,9.008,180.000,0.032,32009.729,0.069,0.058,0.030,10.974,90.811,0.067,0.003,0.034,0.003,0.024,373424.654
Image39,0.022,3.853,0.657,75.554,0.0006465,0.042,15.347,648.268,3.290,0.563,8.829,180.000,0.037,35125.886,0.060,0.067,0.031,11.071,90.496,0.063,0.003,0.030,0.004,0.021,373424.654
Image40,0.025,4.629,0.419,62.521,0.0007479,0.066,15.589,431.344,3.935,0.694,8.417,0.000,0.040,33646.987,0.061,0.096,0.053,11.213,89.819,0.066,0.004,0.030,0.005,0.021,373424.654
Image41,0.025,3.355,0.666,90.558,0.0006606,0.044,11.000,399.388,2.834,0.521,7.254,180.000,0.037,35464.074,0.067,0.070,0.035,11.785,90.228,0.074,0.003,0.035,0.004,0.024,373424.654
Image42,0.024,2.553,0.675,71.152,0.0005960,0.047,10.006,248.110,1.994,0.559,7.235,180.000,0.035,38223.256,0.059,0.079,0.040,12.842,88.938,0.077,0.004,0.033,0.004,0.022,373424.654
Image43,0.024,3.566,0.648,72.680,0.0007628,0.049,10.753,247.420,2.526,1.040,7.742,0.000,0.040,37981.693,0.059,0.087,0.034,11.967,89.709,0.072,0.003,0.031,0.005,0.021,373424.654
Image44,0.025,3.349,0.884,127.735,0.001145,0.049,10.113,293.629,2.612,0.737,8.926,180.000,0.048,42149.990,0.064,0.086,0.042,11.814,89.802,0.080,0.004,0.033,0.005,0.023,373424.654
Image45,0.021,1.828,0.227,121.834,0.0009185,0.036,4.918,78.390,1.341,0.487,7.387,180.000,0.043,45392.297,0.054,0.069,0.030,12.956,89.491,0.077,0.003,0.030,0.004,0.020,373424.654
Image46,0.024,2.294,0.642,120.811,0.001088,0.044,6.521,109.650,1.680,0.614,6.802,180.000,0.047,46401.492,0.057,0.088,0.032,13.218,89.524,0.090,0.003,0.033,0.005,0.021,373424.654
Image47,0.157,5.161,0.436,282.166,0.009053,0.206,-0.025,6.432,3.284,1.877,8.409,82.100,0.137,34232.105,0.479,0.222,0.241,9.961,88.650,0.384,0.025,0.229,0.011,0.173,373424.654
Image48,0.142,3.566,0.520,222.972,0.004541,0.181,0.155,3.800,2.392,1.174,11.052,71.300,0.096,29607.523,0.449,0.198,0.175,10.709,90.613,0.370,0.020,0.219,0.010,0.158,373424.654
Image49,0.106,2.970,0.762,131.143,0.001946,0.140,0.948,9.252,2.346,0.624,15.165,0.000,0.063,30305.371,0.322,0.189,0.122,11.403,90.460,0.294,0.014,0.162,0.010,0.114,373424.654
Image50,0.151,7.041,0.423,274.161,0.008798,0.206,0.889,20.531,4.994,2.047,7.306,90.000,0.135,34436.091,0.445,0.234,0.247,10.469,87.993,0.370,0.026,0.218,0.012,0.163,373424.654
Image51,0.147,3.823,0.522,258.116,0.005635,0.189,0.324,5.203,2.821,1.002,9.568,82.300,0.107,33456.421,0.452,0.217,0.184,10.893,89.345,0.380,0.021,0.224,0.011,0.163,373424.654
Image52,0.103,3.755,0.885,173.009,0.002660,0.137,1.119,15.154,3.091,0.664,15.682,180.000,0.074,43929.501,0.310,0.179,0.131,11.157,89.291,0.277,0.015,0.155,0.009,0.112,373424.654
Image53,0.156,4.166,0.467,292.671,0.01015,0.204,-0.111,4.882,2.143,2.023,8.019,90.000,0.145,39865.882,0.469,0.221,0.243,10.357,88.160,0.386,0.026,0.229,0.011,0.173,373424.654
Image54,0.145,3.341,0.561,246.061,0.005526,0.185,0.159,3.638,2.050,1.291,10.171,90.000,0.106,33553.046,0.448,0.208,0.179,11.456,90.104,0.384,0.020,0.225,0.010,0.160,373424.654
Image55,0.110,3.660,0.820,233.088,0.004042,0.148,1.214,11.348,2.961,0.699,14.890,0.000,0.091,50838.192,0.325,0.215,0.128,12.003,90.165,0.316,0.015,0.169,0.011,0.117,373424.654
Image56,0.021,1.771,0.022,60.739,0.0003636,0.031,3.173,55.894,1.293,0.477,7.668,0.000,0.027,37222.113,0.060,0.047,0.028,11.614,89.534,0.058,0.003,0.031,0.002,0.022,373424.654
Image57,0.020,2.662,0.767,106.365,0.0008816,0.036,9.378,318.412,2.044,0.618,4.613,0.000,0.042,45878.106,0.049,0.058,0.035,13.846,88.520,0.066,0.003,0.028,0.003,0.019,373424.654
Image58,0.018,1.714,0.633,75.266,0.0004985,0.029,4.603,98.405,1.216,0.498,7.147,0.000,0.032,39565.270,0.049,0.045,0.028,12.170,89.911,0.052,0.003,0.026,0.002,0.018,373424.654
Image59,0.022,1.941,0.019,73.145,0.0004243,0.031,2.651,55.495,1.479,0.462,6.582,180.000,0.029,36567.210,0.062,0.048,0.031,11.280,89.383,0.061,0.003,0.031,0.002,0.023,373424.654
Image60,0.020,2.264,0.074,90.244,0.0006665,0.033,5.832,131.084,1.684,0.580,6.319,180.000,0.037,42625.063,0.057,0.054,0.027,11.823,89.613,0.059,0.003,0.029,0.003,0.021,373424.654
Image61,0.031,3.095,0.371,115.437,0.001971,0.087,4.647,65.107,2.222,0.873,9.204,0.000,0.064,38875.475,0.052,0.169,0.115,11.278,87.575,0.082,0.008,0.027,0.009,0.019,373424.654
Image62,0.021,1.591,0.017,80.716,0.0004183,0.030,2.150,34.960,1.124,0.467,6.117,0.000,0.029,33952.966,0.063,0.044,0.029,10.867,89.473,0.058,0.003,0.031,0.002,0.023,373424.654
Image63,0.020,2.700,0.018,78.170,0.0004494,0.031,6.687,222.151,2.299,0.401,6.471,180.000,0.030,39986.663,0.059,0.046,0.027,11.140,89.205,0.055,0.003,0.030,0.002,0.021,373424.654
Image64,0.019,2.408,0.391,68.290,0.0004606,0.032,9.580,305.019,1.843,0.565,7.368,180.000,0.031,36698.727,0.053,0.044,0.029,10.965,88.554,0.048,0.003,0.027,0.002,0.020,373424.654
Image65,0.016,0.688,0.026,6.617,0.00002284,0.021,0.132,3.895,0.426,0.262,9.164,180.000,0.007,21354.134,0.051,0.023,0.021,10.356,89.806,0.042,0.002,0.025,0.001,0.018,373424.654
Image66,0.015,0.202,0.026,5.574,0.00001426,0.019,0.100,3.472,0.130,0.072,9.211,180.000,0.005,26233.699,0.047,0.022,0.020,10.349,89.895,0.039,0.002,0.023,0.001,0.017,373424.654
Image67,0.015,0.156,0.024,5.491,0.00001388,0.019,0.059,3.481,0.085,0.071,8.531,180.000,0.005,27693.810,0.045,0.021,0.020,10.068,89.328,0.037,0.002,0.022,0.001,0.016,373424.654
Image68,0.016,0.754,0.023,7.235,0.00002831,0.020,0.335,9.086,0.666,0.088,8.010,180.000,0.008,22121.766,0.049,0.022,0.020,10.291,89.885,0.040,0.002,0.024,0.001,0.017,373424.654
Image69,0.015,0.198,0.024,5.787,0.00001609,0.019,0.116,3.448,0.120,0.078,8.401,180.000,0.006,24926.577,0.047,0.022,0.020,10.520,89.683,0.040,0.002,0.023,0.001,0.017,373424.654
Image70,0.015,0.474,0.023,6.053,0.00001670,0.019,0.101,3.660,0.410,0.064,7.942,180.000,0.006,26375.952,0.047,0.020,0.019,9.446,90.315,0.037,0.002,0.022,0.001,0.017,373424.654
Image71,0.016,1.711,0.020,16.537,0.00008015,0.022,3.736,128.966,1.482,0.229,7.161,180.000,0.013,23369.840,0.049,0.027,0.021,10.335,89.585,0.041,0.002,0.024,0.001,0.017,373424.654
Image72,0.015,1.085,0.022,7.918,0.00002862,0.019,0.336,8.762,0.701,0.383,7.907,180.000,0.008,25452.646,0.047,0.022,0.019,10.167,89.890,0.039,0.002,0.023,0.001,0.017,373424.654
Image73,0.015,1.280,0.022,6.410,0.00002776,0.019,0.847,36.824,1.131,0.150,7.718,180.000,0.008,26453.789,0.048,0.022,0.017,9.831,90.749,0.038,0.002,0.022,0.001,0.017,373424.654
Image74,0.174,5.282,0.564,193.315,0.005543,0.228,0.428,6.565,3.564,1.719,10.302,68.800,0.107,20610.658,0.527,0.278,0.234,11.643,89.917,0.470,0.026,0.266,0.014,0.188,373424.654
Image75,0.159,5.208,0.664,192.839,0.005143,0.230,0.670,10.776,3.649,1.560,10.860,6.400,0.103,28810.366,0.421,0.344,0.314,11.748,86.896,0.454,0.031,0.220,0.018,0.160,373424.654
Image76,0.141,4.694,0.503,196.902,0.005392,0.201,0.450,11.028,3.249,1.445,8.835,0.000,0.105,37490.516,0.386,0.293,0.282,11.174,87.728,0.397,0.027,0.197,0.015,0.142,373424.654
Image77,0.169,5.084,0.503,178.565,0.004725,0.222,0.486,6.796,3.325,1.758,9.804,77.800,0.098,18535.904,0.510,0.285,0.217,11.046,89.157,0.461,0.024,0.255,0.014,0.185,373424.654
Image78,0.188,4.552,0.796,244.469,0.005477,0.255,0.930,8.520,3.285,1.267,12.767,51.000,0.106,22897.451,0.564,0.377,0.246,10.592,89.333,0.527,0.027,0.276,0.019,0.201,373424.654
Image79,0.186,12.781,0.652,257.605,0.008259,0.264,0.239,9.337,3.080,9.701,9.822,138.500,0.131,32339.864,0.497,0.415,0.351,12.354,87.793,0.579,0.034,0.271,0.021,0.186,373424.654
Image80,0.180,4.193,0.332,214.598,0.005781,0.234,0.100,4.317,2.477,1.716,8.817,71.800,0.109,21966.093,0.545,0.267,0.261,11.232,89.109,0.470,0.028,0.273,0.013,0.197,373424.654
Image81,0.178,4.205,0.503,266.865,0.005322,0.231,0.357,5.125,3.107,1.097,9.427,66.100,0.105,19958.439,0.554,0.269,0.222,10.948,89.971,0.466,0.025,0.273,0.013,0.197,373424.654
Image82,0.179,4.277,0.930,270.498,0.006214,0.246,0.617,7.513,2.824,1.453,13.265,160.500,0.113,29108.294,0.494,0.351,0.292,12.626,88.004,0.513,0.030,0.266,0.018,0.186,373424.654
Image83,0.125,3.863,0.581,116.106,0.002181,0.168,-0.094,7.282,2.598,1.265,10.284,77.600,0.067,19469.946,0.368,0.179,0.229,10.341,87.858,0.301,0.023,0.179,0.009,0.135,373424.654
Image84,0.137,4.431,0.522,153.986,0.004274,0.186,0.107,7.893,2.771,1.660,8.788,90.000,0.094,28021.262,0.378,0.233,0.244,11.673,86.543,0.362,0.025,0.198,0.012,0.145,373424.654
Image85,0.205,6.267,0.372,290.069,0.01008,0.283,-0.233,5.895,3.833,2.434,9.243,90.000,0.145,31819.163,0.547,0.352,0.412,13.035,86.844,0.562,0.041,0.302,0.017,0.210,373424.654
Image86,0.252,34.457,0.460,243.986,0.02407,0.871,4.240,104.902,19.380,15.077,11.685,25.600,0.244,22298.912,0.349,1.398,1.176,10.586,86.441,0.374,0.088,0.174,0.073,0.131,373424.654
Image87,0.140,3.556,0.488,136.009,0.003704,0.187,-0.462,5.688,1.543,2.013,10.786,90.000,0.087,25758.626,0.402,0.201,0.261,10.611,87.095,0.346,0.026,0.199,0.010,0.151,373424.654
Image88,0.255,6.328,0.377,339.233,0.01432,0.352,0.061,6.111,3.920,2.408,9.040,66.700,0.173,31129.367,0.666,0.465,0.482,13.732,86.397,0.719,0.048,0.385,0.023,0.264,373424.654
Image89,0.301,40.407,0.604,280.024,0.03231,1.040,5.703,100.954,24.451,15.956,12.817,27.000,0.284,24091.844,0.360,1.756,1.271,12.630,86.368,0.907,0.095,0.198,0.108,0.139,373424.654
Image90,0.146,4.829,0.463,139.130,0.003637,0.200,-0.332,6.780,2.686,2.142,11.536,90.000,0.087,25313.077,0.405,0.245,0.276,10.576,86.209,0.378,0.028,0.203,0.012,0.155,373424.654
Image91,0.291,8.958,0.313,431.237,0.02108,0.408,-0.197,7.794,3.622,5.336,8.111,66.400,0.212,32457.962,0.766,0.566,0.573,13.181,87.167,0.855,0.055,0.435,0.028,0.296,373424.654
Image92,0.178,6.666,0.330,118.776,0.003362,0.241,-0.043,9.624,3.453,3.214,9.941,86.800,0.083,15027.878,0.522,0.286,0.293,10.970,88.368,0.465,0.030,0.260,0.014,0.192,373424.654
Image93,0.260,6.397,0.091,322.861,0.01267,0.367,-0.364,5.681,3.098,3.299,9.713,66.900,0.164,26373.268,0.647,0.480,0.579,13.113,85.098,0.726,0.057,0.371,0.024,0.261,373424.654
Image94,0.329,12.089,0.122,370.959,0.01865,0.463,0.104,9.537,5.196,6.892,10.981,66.400,0.199,23450.361,0.892,0.642,0.602,12.057,87.219,0.911,0.059,0.477,0.033,0.342,373424.654
Image95,0.196,5.399,0.380,154.691,0.004863,0.273,-0.306,7.747,2.898,2.501,10.465,90.000,0.100,16557.774,0.543,0.339,0.394,11.424,87.426,0.515,0.038,0.279,0.017,0.203,373424.654
Image96,0.267,6.580,0.354,353.614,0.01445,0.368,0.137,6.419,3.398,3.182,9.702,70.500,0.175,25611.004,0.724,0.500,0.476,13.075,87.667,0.763,0.047,0.400,0.025,0.276,373424.654
Image97,0.355,11.454,0.171,475.705,0.02589,0.514,-0.480,9.041,4.463,6.991,9.388,76.800,0.236,24413.927,0.905,0.667,0.823,12.570,86.411,0.966,0.077,0.497,0.034,0.352,373424.654
Image98,0.176,3.183,0.520,129.512,0.004370,0.233,-0.203,4.668,1.462,1.722,11.856,90.000,0.095,18935.824,0.510,0.258,0.299,11.953,88.177,0.452,0.030,0.264,0.013,0.189,373424.654
Image99,0.350,7.141,0.287,420.560,0.01891,0.477,-0.186,5.216,3.548,3.593,10.018,90.000,0.201,20817.328,0.948,0.585,0.661,11.903,86.146,0.921,0.067,0.500,0.030,0.371,373424.654
Image100,0.338,7.298,0.297,303.794,0.01669,0.471,-0.916,7.407,2.582,4.716,10.993,74.600,0.188,17666.278,0.923,0.496,0.772,10.605,86.617,0.817,0.073,0.459,0.025,0.349,373424.654
Image101,0.687,99.563,0.231,639.348,0.2972,2.734,6.614,128.530,56.588,42.975,10.845,24.900,0.976,36894.662,0.950,3.650,3.156,11.968,87.218,1.242,0.226,0.500,0.213,0.355,373424.654
Image102,0.213,6.204,0.803,294.079,0.01084,0.293,1.128,9.984,4.090,2.113,11.374,0.000,0.149,43577.894,0.612,0.449,0.285,12.175,89.395,0.633,0.031,0.322,0.023,0.223,373424.654
Image103,0.253,5.368,0.694,487.061,0.02218,0.345,0.732,6.278,3.308,2.060,8.536,137.600,0.216,44095.911,0.705,0.538,0.358,13.287,89.399,0.801,0.037,0.392,0.028,0.261,373424.654
Image104,0.282,14.203,0.455,426.148,0.02021,0.387,1.047,20.364,11.710,2.493,9.057,65.000,0.207,41607.816,0.814,0.508,0.451,12.121,89.215,0.776,0.045,0.423,0.026,0.297,373424.654
Image105,0.193,5.249,0.924,408.809,0.01417,0.266,1.170,8.177,3.881,1.367,12.268,64.200,0.171,55505.718,0.539,0.439,0.232,13.256,89.407,0.617,0.026,0.302,0.023,0.200,373424.654
